Finals,Cleveland Cavaliers over Golden State Warriors  (4-3),Series Stats
,,
Eastern Conference Finals,Cleveland Cavaliers over Toronto Raptors  (4-2),Series Stats
Western Conference Finals,Golden State Warriors over Oklahoma City Thunder  (4-3),Series Stats
,,
Eastern Conference Semifinals,Cleveland Cavaliers over Atlanta Hawks  (4-0),Series Stats
Eastern Conference Semifinals,Toronto Raptors over Miami Heat  (4-3),Series Stats
Western Conference Semifinals,Golden State Warriors over Portland Trail Blazers  (4-1),Series Stats
Western Conference Semifinals,Oklahoma City Thunder over San Antonio Spurs  (4-2),Series Stats
,,
Eastern Conference First Round,Atlanta Hawks over Boston Celtics  (4-2),Series Stats
Eastern Conference First Round,Cleveland Cavaliers over Detroit Pistons  (4-0),Series Stats
Eastern Conference First Round,Miami Heat over Charlotte Hornets  (4-3),Series Stats
Eastern Conference First Round,Toronto Raptors over Indiana Pacers  (4-3),Series Stats
Western Conference First Round,Golden State Warriors over Houston Rockets  (4-1),Series Stats
Western Conference First Round,Oklahoma City Thunder over Dallas Mavericks  (4-1),Series Stats
Western Conference First Round,Portland Trail Blazers over Los Angeles Clippers  (4-2),Series Stats
Western Conference First Round,San Antonio Spurs over Memphis Grizzlies  (4-0),Series Stats
