Finals,Toronto Raptors over Golden State Warriors  (4-2),Series Stats
,,
Eastern Conference Finals,Toronto Raptors over Milwaukee Bucks  (4-2),Series Stats
Western Conference Finals,Golden State Warriors over Portland Trail Blazers  (4-0),Series Stats
,,
Eastern Conference Semifinals,Milwaukee Bucks over Boston Celtics  (4-1),Series Stats
Eastern Conference Semifinals,Toronto Raptors over Philadelphia 76ers  (4-3),Series Stats
Western Conference Semifinals,Golden State Warriors over Houston Rockets  (4-2),Series Stats
Western Conference Semifinals,Portland Trail Blazers over Denver Nuggets  (4-3),Series Stats
,,
Eastern Conference First Round,Boston Celtics over Indiana Pacers  (4-0),Series Stats
Eastern Conference First Round,Milwaukee Bucks over Detroit Pistons  (4-0),Series Stats
Eastern Conference First Round,Philadelphia 76ers over Brooklyn Nets  (4-1),Series Stats
Eastern Conference First Round,Toronto Raptors over Orlando Magic  (4-1),Series Stats
Western Conference First Round,Denver Nuggets over San Antonio Spurs  (4-3),Series Stats
Western Conference First Round,Golden State Warriors over Los Angeles Clippers  (4-2),Series Stats
Western Conference First Round,Houston Rockets over Utah Jazz  (4-1),Series Stats
Western Conference First Round,Portland Trail Blazers over Oklahoma City Thunder  (4-1),Series Stats
