Finals,Miami Heat over San Antonio Spurs  (4-3),Series Stats
,,
Eastern Conference Finals,Miami Heat over Indiana Pacers  (4-3),Series Stats
Western Conference Finals,San Antonio Spurs over Memphis Grizzlies  (4-0),Series Stats
,,
Eastern Conference Semifinals,Indiana Pacers over New York Knicks  (4-2),Series Stats
Eastern Conference Semifinals,Miami Heat over Chicago Bulls  (4-1),Series Stats
Western Conference Semifinals,Memphis Grizzlies over Oklahoma City Thunder  (4-1),Series Stats
Western Conference Semifinals,San Antonio Spurs over Golden State Warriors  (4-2),Series Stats
,,
Eastern Conference First Round,Chicago Bulls over Brooklyn Nets  (4-3),Series Stats
Eastern Conference First Round,Indiana Pacers over Atlanta Hawks  (4-2),Series Stats
Eastern Conference First Round,Miami Heat over Milwaukee Bucks  (4-0),Series Stats
Eastern Conference First Round,New York Knicks over Boston Celtics  (4-2),Series Stats
Western Conference First Round,Golden State Warriors over Denver Nuggets  (4-2),Series Stats
Western Conference First Round,Memphis Grizzlies over Los Angeles Clippers  (4-2),Series Stats
Western Conference First Round,Oklahoma City Thunder over Houston Rockets  (4-2),Series Stats
Western Conference First Round,San Antonio Spurs over Los Angeles Lakers  (4-0),Series Stats
