Finals,San Antonio Spurs over Miami Heat  (4-1),Series Stats
,,
Eastern Conference Finals,Miami Heat over Indiana Pacers  (4-2),Series Stats
Western Conference Finals,San Antonio Spurs over Oklahoma City Thunder  (4-2),Series Stats
,,
Eastern Conference Semifinals,Indiana Pacers over Washington Wizards  (4-2),Series Stats
Eastern Conference Semifinals,Miami Heat over Brooklyn Nets  (4-1),Series Stats
Western Conference Semifinals,Oklahoma City Thunder over Los Angeles Clippers  (4-2),Series Stats
Western Conference Semifinals,San Antonio Spurs over Portland Trail Blazers  (4-1),Series Stats
,,
Eastern Conference First Round,Brooklyn Nets over Toronto Raptors  (4-3),Series Stats
Eastern Conference First Round,Indiana Pacers over Atlanta Hawks  (4-3),Series Stats
Eastern Conference First Round,Miami Heat over Charlotte Bobcats  (4-0),Series Stats
Eastern Conference First Round,Washington Wizards over Chicago Bulls  (4-1),Series Stats
Western Conference First Round,Los Angeles Clippers over Golden State Warriors  (4-3),Series Stats
Western Conference First Round,Oklahoma City Thunder over Memphis Grizzlies  (4-3),Series Stats
Western Conference First Round,Portland Trail Blazers over Houston Rockets  (4-2),Series Stats
Western Conference First Round,San Antonio Spurs over Dallas Mavericks  (4-3),Series Stats
