Finals,Golden State Warriors over Cleveland Cavaliers  (4-2),Series Stats
,,
Eastern Conference Finals,Cleveland Cavaliers over Atlanta Hawks  (4-0),Series Stats
Western Conference Finals,Golden State Warriors over Houston Rockets  (4-1),Series Stats
,,
Eastern Conference Semifinals,Atlanta Hawks over Washington Wizards  (4-2),Series Stats
Eastern Conference Semifinals,Cleveland Cavaliers over Chicago Bulls  (4-2),Series Stats
Western Conference Semifinals,Golden State Warriors over Memphis Grizzlies  (4-2),Series Stats
Western Conference Semifinals,Houston Rockets over Los Angeles Clippers  (4-3),Series Stats
,,
Eastern Conference First Round,Atlanta Hawks over Brooklyn Nets  (4-2),Series Stats
Eastern Conference First Round,Chicago Bulls over Milwaukee Bucks  (4-2),Series Stats
Eastern Conference First Round,Cleveland Cavaliers over Boston Celtics  (4-0),Series Stats
Eastern Conference First Round,Washington Wizards over Toronto Raptors  (4-0),Series Stats
Western Conference First Round,Golden State Warriors over New Orleans Pelicans  (4-0),Series Stats
Western Conference First Round,Houston Rockets over Dallas Mavericks  (4-1),Series Stats
Western Conference First Round,Los Angeles Clippers over San Antonio Spurs  (4-3),Series Stats
Western Conference First Round,Memphis Grizzlies over Portland Trail Blazers  (4-1),Series Stats
